"","gender_person_1","gender_person_2","gender_person_3","gender_person_4","gender_person_5","gender_person_6","gender_person_7","gender_person_8","gender_person_9","gender_person_10","total_people_pictured","total_women","total_men","total_ambiguous","building_code","clean_img_name"
"158",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"159",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"160",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"161",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"162",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"163",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"164",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"165",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"166",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"167",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"168",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4051"
"169",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4051"
"170",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"171",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"172",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"173",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"174",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"175",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"176",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"177",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"179",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"180",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"181",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4052"
"182",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4053"
"183",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4053"
"184",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4053"
"185",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"186",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"187",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"188",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"189",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"190",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"191",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"192",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"193",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"194",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"195",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4054"
"196",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"197",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"198",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"199",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"200",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"201",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"202",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"203",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"204",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"205",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"206",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"207",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4055"
"208",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"209",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"210",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"211",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"212",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"213",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"214",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"215",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"216",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"217",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"218",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"219",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"220",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"221",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4056"
"222",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"223",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"224",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"225",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"226",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"227",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"228",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"229",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"230",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"231",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4057"
"232",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"233",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"234",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"235",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
