"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"51","genes","Female scientist","Men","Not pictured",-0.187857155724475,0.779059896081781,0.906289735817475,-1.93916187601822,-3.28405144715321,1.4549983962282,0.17328711241811,0.199736545668069,0.324990244031655,5.88888888888889,7,7,2.5,1,7,5.25,5.8,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,2,2,2,4,1,1,1,1,1,7,7,7,7,7,5,7,5,7,3,6,6,5,6,6,6,6,6,6,7,6,8,4.7,5.53333333333333,19,"White"
"52","genes","Male scientist","Women","Pictured",-0.0348389634252659,-0.289365104258947,-0.319938524187914,-0.982394783004826,1.04375451728564,-0.636464539098755,-0.315994146174202,0.0240520447663115,0.324990244031655,6,6,6,3.75,6.8,4.6,4.75,5.6,6,6,6,6,6,5,7,6,6,6,6,6,5,6,6,7,6,6,6,6,6,6,6,6,6,6,7,5,5,3,3,4,7,7,7,6,7,5,4,5,5,4,6,6,5,5,4,5,6,6,6,5,5,6,6,6,8,8,8,4.75,5.46666666666667,19,"White"
"53","shell","Female scientist","Men","Not pictured",1.34232476726762,0.779059896081781,0.906289735817475,1.50519965883,-0.150122990145765,0.932132662396465,0.417927741714266,0.551105547471583,0.896700830391007,7,7,7,7,5.2,6.4,5.5,6.2,6.66666666666667,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,2,7,6,6,7,7,6,5,7,6,7,3,6,6,6,7,6,6,6,7,7,8,8,8,5.2,6.66666666666667,19,"White"
"54","shell","Female scientist","Men","Pictured",0.424215613472363,0.600989062691659,0.497546982482345,-0.0256276899914305,0.44681576356994,0.583555506508638,-0.0713535168780458,0.375421046569826,0.610845537211331,6.33333333333333,6.83333333333333,6.66666666666667,5,6,6,5,6,6.33333333333333,6,7,6,7,6,7,7,6,6,3,6,7,7,7,6,6,7,7,7,7,7,6,7,7,7,6,7,6,6,3,5,7,6,7,4,6,6,6,6,6,6,7,7,5,7,2,6,6,6,6,6,6,7,6,6,7,7,7,4.75,5.86666666666667,18,"Asian"
"55","against","Male scientist","Women","Not pictured",-0.41738444417329,-1.00164843781943,-0.319938524187914,0.739785984419286,-1.64246987443503,0.234978350620811,0.907209000306579,0.375421046569826,0.324990244031655,5.72222222222222,5.33333333333333,6,6,3.2,5.6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,6,6,6,6,4,6,6,6,6,5,4,5,6,6,6,6,6,6,6,3,3,3,4,3,6,5,6,6,5,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,4.65,5.4,20,"Asian"
"56","against","Male scientist","Women","Not pictured",0.194688325023549,-0.289365104258947,0.0888042291472151,-1.55645503881286,0.297581075141013,0.0606897726768983,0.417927741714266,-0.503001457938959,-0.246720342327697,6.16666666666667,6,6.33333333333333,3,5.8,5.4,5.5,5,5.33333333333333,6,6,6,6,6,7,6,6,5,7,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,7,2,2,2,6,5,6,6,6,6,5,5,6,6,5,1,5,5,7,5,5,5,5,5,5,5,5,5,6,6,8,8,4.85,6,21,"Asian"
"57","shell","Female scientist","Men","Not pictured",0.500724709621969,-0.289365104258947,-0.319938524187914,0.739785984419286,-0.747061743861469,-0.462175961154842,0.417927741714266,-0.151632456135445,-0.246720342327697,6.38888888888889,6,6,6,4.4,4.8,5.5,5.4,5.33333333333333,6,6,6,6,7,7,7,7,6,5,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,4,6,7,7,7,5,5,4,1,5,5,5,5,4,2,6,5,6,6,5,5,5,5,6,6,5,6,5,8,8,8,4.95,6.13333333333333,19,"Asian"
"58","genes","Male scientist","Men","Pictured",1.26581567111802,0.779059896081781,0.906289735817475,-0.982394783004826,-0.448592367003617,0.932132662396465,1.15184962960273,1.25384355107861,1.18255612357068,6.94444444444444,7,7,3.75,4.8,6.4,6.25,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,3,4,7,5,6,3,3,6,7,6,6,7,5,7,7,6,6,6,7,7,7,7,7,7,7,7,8,8,8,5.15,6.2,19,"Black/African American"
"59","shell","Male scientist","Women","Pictured",1.11279747881881,0.779059896081781,0.906289735817475,1.12249282162464,0.297581075141013,1.28070981828429,1.64113088819505,0.72679004837334,0.896700830391007,6.83333333333333,7,7,6.5,5.8,6.8,6.75,6.4,6.66666666666667,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,5,5,7,6,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,7,6,7,8,8,5.05,6.4,19,"White"
"60","against","Female scientist","Women","Pictured",0.118179228873943,-1.5358609379898,-0.728681277523043,0.931139403021965,-0.597827055432544,1.28070981828429,-2.27311918054345,-2.08416196605477,0.324990244031655,6.11111111111111,4.83333333333333,5.66666666666667,6.25,4.6,6.8,2.75,3.2,6,6,5,7,6,6,7,6,7,6,5,6,5,7,7,7,7,3,7,2,3,6,6,6,6,7,6,4,6,6,6,7,5,5,5,3,5,7,6,7,7,7,2,2,4,2,3,2,5,5,3,1,2,6,6,6,8,8,8,4.75,4.73333333333333,18,"Asian"
"61","genes","Female scientist","Women","Not pictured",0.347706517322758,0.422918229301539,0.906289735817475,-0.791041364402147,-0.747061743861469,0.583555506508638,0.662568371010422,0.199736545668069,0.324990244031655,6.27777777777778,6.66666666666667,7,4,4.4,6,5.75,5.8,6,7,7,6,6,6,7,6,6,6,5,5,6,6,7,6,7,7,7,6,6,7,7,7,7,7,7,7,4,4,5,3,6,6,4,3,3,6,6,6,6,6,5,7,5,6,6,6,6,6,6,5,6,6,6,6,8,8,8,4.7,6.13333333333333,19,"Black/African American"
"62","shell","Female scientist","Men","Pictured",0.653742901921178,0.779059896081781,0.906289735817475,-0.982394783004826,-0.448592367003617,0.583555506508638,1.39649025889889,1.25384355107861,1.18255612357068,6.5,7,7,3.75,4.8,6,6.5,7,7,7,7,7,1,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,2,4,6,5,5,4,4,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,3,8,8,4.75,6.4,19,"White"
"63","shell","Male scientist","Women","Not pictured",1.11279747881881,0.779059896081781,0.906289735817475,0.739785984419286,0.148346386712087,1.4549983962282,0.662568371010422,1.25384355107861,0.324990244031655,6.83333333333333,7,7,6,5.6,7,5.75,7,6,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,6,6,7,7,7,7,7,7,7,7,6,4,6,7,7,7,7,7,6,6,6,8,8,8,5.05,6,20,"White"
"64","against","Male scientist","Men","Pictured",-0.111348059574871,0.779059896081781,0.0888042291472151,-0.21698110859411,-0.000888301716838511,-0.287887383210928,0.417927741714266,0.72679004837334,-0.532575635507372,5.94444444444444,7,6.33333333333333,4.75,5.4,5,5.5,6.4,5,2,6,5,6,5,7,7,6,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,7,6,7,6,5,6,5,3,6,5,6,5,5,6,5,4,5,5,6,6,5,5,6,6,7,7,7,5,6,5,5,5,6,8,8,4.8,5.13333333333333,18,"Asian"
"65","shell","Female scientist","Men","Pictured",-0.646911732622105,-0.289365104258947,-0.319938524187914,0.739785984419286,-0.448592367003617,-0.113598805267015,-0.0713535168780458,-0.854370459742473,-0.246720342327697,5.55555555555556,6,6,6,4.8,5.2,5,4.6,5.33333333333333,6,6,5,5,5,6,5,6,5,6,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,7,5,6,6,6,6,6,5,5,4,4,6,5,5,5,5,6,6,5,6,5,4,5,5,5,4,4,6,5,5,7,7,7,4.55,5.73333333333333,18,"Asian"
"66","genes","Female scientist","Women","Not pictured",0.424215613472363,-0.289365104258947,0.906289735817475,-0.0256276899914305,0.44681576356994,0.0606897726768983,-0.315994146174202,0.199736545668069,0.610845537211331,6.33333333333333,6,7,5,6,5.4,4.75,5.8,6.33333333333333,6,6,6,7,5,7,6,6,5,6,6,7,7,6,7,7,7,7,6,6,6,7,6,5,7,7,7,5,5,5,5,6,6,6,6,6,6,6,6,6,3,5,7,6,6,2,5,6,6,6,5,6,6,6,7,8,8,8,4.8,6.2,18,"Asian"
"67","genes","Male scientist","Women","Not pictured",0.424215613472363,-0.289365104258947,0.0888042291472151,-0.21698110859411,-0.150122990145765,0.757844084452551,0.417927741714266,-1.38142396244774,0.324990244031655,6.33333333333333,6,6.33333333333333,4.75,5.2,6.2,5.5,4,6,6,7,6,6,6,6,6,5,6,7,7,6,7,6,7,6,7,7,7,7,6,5,6,5,7,6,6,6,6,4,3,6,5,5,5,5,6,7,6,6,6,3,6,6,6,5,5,4,3,4,5,4,6,6,6,8,7,8,4.8,5.86666666666667,18,"White"
"68","shell","Male scientist","Men","Not pictured",-0.41738444417329,0.779059896081781,0.0888042291472151,1.50519965883,0.596050451998866,-0.810753117042668,-0.315994146174202,0.902474549275096,0.324990244031655,5.72222222222222,7,6.33333333333333,7,6.2,4.4,4.75,6.6,6,6,6,5,5,6,7,6,6,6,5,4,6,5,6,6,6,6,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,6,7,5,6,5,4,5,4,4,7,7,6,5,3,5,7,7,7,6,6,6,6,6,8,8,8,4.65,5.33333333333333,18,"Asian"
"69","against","Male scientist","Men","Not pictured",-3.78378467475591,-5.09727760579222,-5.22485156420947,-1.74780845741554,1.19298920571457,-2.37935031853789,-3.25168169772807,-4.0166914759741,-1.96185210140575,3.27777777777778,1.5,2,2.75,7,2.6,1.75,1,3.33333333333333,5,5,2,2,3,7,6,5,2,2,4,2,1,3,4,3,1,2,3,2,1,1,1,1,2,2,2,1,4,2,4,7,7,7,7,7,3,3,3,2,2,1,1,2,2,2,1,1,1,1,1,1,6,2,2,8,8,8,3.95,3.13333333333333,21,"White"
"70","genes","Female scientist","Men","Pictured",-0.570402636472501,0.779059896081781,-0.728681277523043,-0.791041364402147,1.19298920571457,-0.113598805267015,-1.53919729265498,0.199736545668069,-0.532575635507372,5.61111111111111,7,5.66666666666667,4,7,5.2,3.5,5.8,5,6,6,6,6,6,6,6,2,5,4,5,5,7,7,7,7,5,5,7,7,7,7,7,7,6,7,4,5,5,3,3,7,7,7,7,7,6,5,5,5,5,1,6,4,5,1,4,5,5,5,7,7,5,5,5,8,8,8,4.25,5.6,18,"Asian"
"71","against","Female scientist","Men","Not pictured",-0.493893540322895,-0.289365104258947,-0.728681277523043,0.165725728611249,0.297581075141013,-2.90221605236963,-0.560634775470358,-2.08416196605477,0.0391349508519797,5.66666666666667,6,5.66666666666667,5.25,5.8,2,4.5,3.2,5.66666666666667,7,7,7,7,6,7,6,6,6,2,2,4,7,6,6,7,3,6,6,5,7,6,6,6,6,6,5,5,7,2,7,7,7,1,7,7,2,2,2,2,2,1,3,4,5,3,6,3,5,4,2,2,7,5,5,8,8,8,4.4,5.06666666666667,18,"White"
"72","genes","Male scientist","Women","Pictured",0.883270190369993,0.600989062691659,0.0888042291472151,0.739785984419286,0.596050451998866,0.583555506508638,0.17328711241811,0.199736545668069,-1.3901415150464,6.66666666666667,6.83333333333333,6.33333333333333,6,6.2,6,5.25,5.8,4,6,7,7,7,7,7,7,7,7,4,7,7,6,7,7,7,6,7,7,7,7,7,7,6,6,6,7,6,6,6,6,6,6,7,5,7,6,6,6,6,6,6,6,5,5,6,5,5,6,6,6,6,5,3,4,8,8,8,5.1,6.46666666666667,19,"White"
"73","shell","Male scientist","Women","Not pictured",0.730251998070783,0.779059896081781,0.906289735817475,1.12249282162464,-0.299357678574691,0.583555506508638,0.662568371010422,-0.327316957037202,0.324990244031655,6.55555555555556,7,7,6.5,5,6,5.75,5.2,6,7,7,7,7,7,7,7,7,6,4,7,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,5,3,5,6,6,6,6,6,1,6,6,5,5,7,6,6,6,3,5,6,6,6,7,8,8,5,6.26666666666667,19,"All other races"
"74","genes","Female scientist","Men","Pictured",-0.111348059574871,-0.111294270868825,-0.319938524187914,0.357079147213928,0.894519828856718,-0.636464539098755,0.417927741714266,0.375421046569826,0.324990244031655,5.94444444444444,6.16666666666667,6,5.5,6.6,4.6,5.5,6,6,6,6,6,6,7,7,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,5,5,7,7,7,6,6,4,5,4,5,5,4,6,6,6,5,5,6,6,6,6,6,6,6,6,8,8,8,4.85,5.73333333333333,18,"Asian"
"75","against","Female scientist","Women","Not pictured",1.0362883826692,0.779059896081781,0.906289735817475,0.548432565816607,0.596050451998866,0.409266928564724,1.15184962960273,0.375421046569826,0.324990244031655,6.77777777777778,7,7,5.75,6.2,5.8,6.25,6,6,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,5,6,7,7,7,5,5,6,6,6,6,5,7,7,6,6,6,7,6,6,6,6,6,6,6,6,8,8,8,5.05,6.2,18,"Asian"
"76","genes","Male scientist","Men","Pictured",-0.0348389634252659,0.779059896081781,0.0888042291472151,-0.408334527196789,1.04375451728564,-0.113598805267015,0.17328711241811,0.375421046569826,0.0391349508519797,6,7,6.33333333333333,4.5,6.8,5.2,5.25,6,5.66666666666667,6,7,6,6,7,7,6,4,6,4,6,6,6,6,6,6,7,6,7,7,7,7,7,7,6,6,7,4,4,5,5,7,7,7,6,7,6,5,5,5,5,6,6,5,6,4,6,6,6,6,6,6,5,6,6,8,8,7,4.7,5.6,18,"White"
"77","against","Male scientist","Men","Pictured",1.34232476726762,0.779059896081781,0.906289735817475,1.50519965883,1.19298920571457,1.28070981828429,0.417927741714266,1.25384355107861,1.18255612357068,7,7,7,7,7,6.8,5.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,1,7,7,7,7,7,7,7,7,7,8,8,8,5.2,6.6,20,"White"
"78","shell","Male scientist","Women","Pictured",0.730251998070783,0.779059896081781,0.906289735817475,-0.791041364402147,0.596050451998866,0.0606897726768983,0.417927741714266,0.375421046569826,0.610845537211331,6.55555555555556,7,7,4,6.2,5.4,5.5,6,6.33333333333333,6,6,7,7,7,7,7,6,6,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,3,4,7,6,6,6,6,6,6,5,5,5,6,6,6,5,5,6,6,6,6,6,6,7,6,6,7,8,8,4.9,6.4,19,"White"
"79","shell","Female scientist","Women","Pictured",-0.41738444417329,0.779059896081781,0.497546982482345,-0.0256276899914305,1.19298920571457,-1.85648458470615,-1.78383792195114,-0.327316957037202,-1.67599680822608,5.72222222222222,7,6.66666666666667,5,7,3.2,3.25,5.2,3.66666666666667,5,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,6,5,7,7,7,7,7,7,7,6,7,4,4,6,6,7,7,7,7,7,5,3,3,3,2,4,7,3,3,3,4,6,6,5,5,4,4,3,4,7,7,8,4.65,5.8,21,"Asian"
"80","genes","Male scientist","Men","Pictured",0.0416701327243387,0.600989062691659,-0.319938524187914,0.931139403021965,-0.000888301716838511,-0.462175961154842,0.17328711241811,0.375421046569826,0.610845537211331,6.05555555555556,6.83333333333333,6,6.25,5.4,4.8,5.25,6,6.33333333333333,5,6,6,6,6,6,6,6,6,6,6,7,6,5,6,7,6,7,6,7,7,7,7,7,6,6,6,6,6,7,6,7,5,5,5,5,5,5,4,5,5,6,6,6,4,5,6,6,6,6,6,6,6,6,7,8,8,8,4.9,5.73333333333333,18,"White"
"81","genes","Female scientist","Men","Pictured",0.194688325023549,0.422918229301539,-1.13742403085817,-1.55645503881286,0.596050451998866,-0.636464539098755,-0.560634775470358,0.551105547471583,0.324990244031655,6.16666666666667,6.66666666666667,5.33333333333333,3,6.2,4.6,4.5,6.2,6,7,7,6,6,7,5,6,6,7,4,6,7,6,7,5,6,7,6,7,7,7,7,6,6,7,6,3,4,2,2,4,7,6,6,6,6,6,4,5,4,4,3,7,5,6,4,3,6,6,6,7,6,6,6,6,4,8,8,4.75,5.66666666666667,21,"Black/African American"
"82","against","Male scientist","Men","Not pictured",0.883270190369993,0.779059896081781,0.497546982482345,0.165725728611249,-1.64246987443503,0.583555506508638,0.662568371010422,0.902474549275096,1.18255612357068,6.66666666666667,7,6.66666666666667,5.25,3.2,6,5.75,6.6,7,7,7,7,7,6,7,7,6,7,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,7,7,3,6,6,6,5,2,5,2,2,6,6,6,6,6,7,7,5,5,7,6,7,7,7,6,6,7,7,7,7,8,8,5,6.13333333333333,19,"All other races"
"83","against","Female scientist","Women","Pictured",-0.493893540322895,0.422918229301539,0.0888042291472151,-0.21698110859411,0.596050451998866,-0.636464539098755,-0.805275404766514,-0.327316957037202,-0.532575635507372,5.66666666666667,6.66666666666667,6.33333333333333,4.75,6.2,4.6,4.25,5.2,5,6,6,5,5,6,7,6,6,6,5,6,5,5,5,7,6,5,5,7,7,6,7,6,7,6,6,7,5,6,5,3,6,6,7,6,6,5,6,5,5,2,2,6,5,5,2,5,5,5,6,5,5,5,5,5,8,8,8,4.75,5.73333333333333,19,"All other races"
"84","shell","Male scientist","Men","Not pictured",1.11279747881881,0.779059896081781,0.906289735817475,0.357079147213928,-1.19476580914825,-0.287887383210928,0.907209000306579,1.25384355107861,1.18255612357068,6.83333333333333,7,7,5.5,3.8,5,6,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,6,6,3,5,5,3,3,5,5,5,5,5,7,7,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,5.05,6.46666666666667,21,"Asian"
"85","shell","Female scientist","Men","Pictured",0.347706517322758,0.422918229301539,0.497546982482345,-0.21698110859411,-0.000888301716838511,0.409266928564724,0.17328711241811,0.375421046569826,0.0391349508519797,6.27777777777778,6.66666666666667,6.66666666666667,4.75,5.4,5.8,5.25,6,5.66666666666667,7,7,7,7,6,6,6,5,6,5,6,6,7,7,6,6,7,6,7,7,7,7,6,6,6,7,7,5,5,5,4,7,5,5,5,5,7,5,6,6,5,5,7,5,5,5,6,6,6,6,6,6,6,6,5,8,8,8,4.7,5.6,18,"White"
"86","shell","Male scientist","Men","Not pictured",-1.18247540566934,0.0667765625212955,0.0888042291472151,0.548432565816607,0.148346386712087,-0.113598805267015,0.17328711241811,0.199736545668069,0.324990244031655,5.16666666666667,6.33333333333333,6.33333333333333,5.75,5.6,5.2,5.25,5.8,6,6,5,5,3,6,6,5,5,5,5,4,6,6,5,5,5,5,6,6,6,7,7,6,6,6,7,6,6,6,5,6,7,6,6,5,4,6,5,5,5,5,5,7,5,5,6,5,6,6,6,5,6,6,6,6,4,7,7,4.35,5.6,19,"All other races"
"87","against","Male scientist","Women","Not pictured",-1.33549359796855,-0.823577604429311,-1.5461667841933,-2.32186871322358,1.19298920571457,-2.03077316265006,-2.27311918054345,-1.73279296425126,-1.3901415150464,5.05555555555556,5.5,5,2,7,3,2.75,3.6,4,5,5,4,4,5,6,6,6,4,5,5,5,5,5,6,5,5,5,5,4,6,6,6,6,4,5,6,2,2,2,2,7,7,7,7,7,4,3,3,3,2,1,4,2,5,1,3,3,3,3,5,4,6,3,3,7,7,7,4.4,4.66666666666667,20,"White"
"88","genes","Male scientist","Women","Pictured",1.34232476726762,0.779059896081781,0.906289735817475,-1.74780845741554,1.19298920571457,0.0606897726768983,0.662568371010422,-0.503001457938959,-0.532575635507372,7,7,7,2.75,7,5.4,5.75,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,3,1,7,7,7,7,7,5,5,6,6,5,5,5,4,5,7,7,6,6,5,4,4,5,5,5,3,8,8,5.2,6.46666666666667,18,"White"
"89","genes","Male scientist","Men","Not pictured",0.118179228873943,0.422918229301539,0.0888042291472151,0.357079147213928,0.148346386712087,0.0606897726768983,0.417927741714266,0.72679004837334,1.18255612357068,6.11111111111111,6.66666666666667,6.33333333333333,5.5,5.6,5.4,5.5,6.4,7,7,7,6,6,6,6,6,6,6,5,6,7,6,6,5,6,6,7,7,7,7,7,6,6,6,6,7,6,6,5,5,6,6,6,6,4,5,6,6,5,5,5,7,6,5,6,5,6,6,6,7,7,7,7,7,8,7,7,4.8,5.73333333333333,18,"White"
"90","shell","Male scientist","Women","Pictured",-1.79454817486618,-2.24814427155028,-3.18113779753382,-0.982394783004826,-1.19476580914825,-0.636464539098755,-1.29455666335883,-1.03005496064423,-0.818430928687048,4.72222222222222,4.16666666666667,3.66666666666667,3.75,3.8,4.6,3.75,4.4,4.66666666666667,4,6,5,5,4,5,5,4,4,5,5,5,4,5,4,5,5,5,4,4,4,3,5,5,3,5,3,4,3,4,4,3,4,4,4,4,4,5,5,4,5,4,3,3,3,4,5,4,4,5,4,5,4,5,5,4,3,1,4.3,4.73333333333333,18,"White"
"91","shell","Male scientist","Men","Not pictured",0.730251998070783,0.779059896081781,0.497546982482345,0.739785984419286,-0.896296432290395,0.409266928564724,-0.0713535168780458,-0.151632456135445,0.324990244031655,6.55555555555556,7,6.66666666666667,6,4.2,5.8,5,5.4,6,7,7,6,6,6,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,6,6,4,5,3,3,6,6,6,6,5,5,7,5,5,6,4,6,6,5,5,5,6,6,6,8,8,8,4.8,6,18,"All other races"
"92","against","Female scientist","Women","Pictured",-0.0348389634252659,0.779059896081781,0.906289735817475,-0.0256276899914305,1.19298920571457,-2.03077316265006,0.17328711241811,0.199736545668069,-0.246720342327697,6,7,7,5,7,3,5.25,5.8,5.33333333333333,6,6,7,6,6,7,6,5,6,4,5,6,6,5,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,2,7,7,7,7,7,5,4,4,1,1,1,7,5,6,5,5,6,5,5,7,6,6,5,5,7,8,8,4.75,6,19,"Black/African American"
"93","genes","Female scientist","Women","Not pictured",-2.25360275176381,0.0667765625212955,-1.5461667841933,-2.32186871322358,1.19298920571457,-1.50790742881832,-2.76240043913576,-2.61121546876004,-3.10527327412446,4.38888888888889,6.33333333333333,5,2,7,3.6,2.25,2.6,2,5,7,3,4,6,6,7,3,2,5,5,3,3,5,6,3,3,3,6,6,6,7,7,6,3,7,5,2,2,2,2,7,7,7,7,7,4,5,4,3,2,4,5,2,3,1,3,2,2,2,5,2,2,2,2,3,8,8,4.2,4.53333333333333,18,"White"
"94","against","Female scientist","Women","Pictured",-0.952948117220525,-0.289365104258947,0.0888042291472151,-0.0256276899914305,1.19298920571457,-0.287887383210928,0.417927741714266,0.375421046569826,0.324990244031655,5.33333333333333,6,6.33333333333333,5,7,5,5.5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,5,5,5,5,7,7,7,7,7,5,5,5,5,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,8,6,4.3,5.8,18,"Asian"
"95","against","Male scientist","Men","Not pictured",0.118179228873943,0.0667765625212955,0.497546982482345,0.548432565816607,0.44681576356994,-0.462175961154842,-0.315994146174202,-0.151632456135445,-0.246720342327697,6.11111111111111,6.33333333333333,6.66666666666667,5.75,6,4.8,4.75,5.4,5.33333333333333,6,7,6,5,6,7,6,6,5,5,6,6,6,7,7,6,7,6,7,6,6,7,6,6,6,7,7,5,6,5,7,5,6,7,5,7,3,5,5,6,5,6,7,5,6,5,3,3,5,6,7,6,5,5,6,3,7,8,4.65,5.6,18,"White"
"96","genes","Female scientist","Men","Pictured",-0.799929924921314,-1.00164843781943,-1.5461667841933,0.739785984419286,-1.04553112071932,0.0606897726768983,0.417927741714266,-0.327316957037202,0.0391349508519797,5.44444444444444,5.33333333333333,5,6,4,5.4,5.5,5.2,5.66666666666667,6,6,6,6,5,5,5,5,5,6,6,4,6,6,6,5,5,5,6,6,5,6,5,4,5,6,4,6,6,6,6,5,5,3,4,3,6,5,6,5,5,5,6,6,5,6,5,6,6,6,4,4,6,5,6,7,7,7,4.45,4.86666666666667,19,"White"
"97","shell","Female scientist","Women","Pictured",0.653742901921178,0.779059896081781,0.497546982482345,1.12249282162464,1.19298920571457,0.583555506508638,-0.0713535168780458,0.72679004837334,-0.246720342327697,6.5,7,6.66666666666667,6.5,7,6,5,6.4,5.33333333333333,6,6,7,6,6,7,7,7,6,6,6,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,7,7,7,7,6,6,6,6,6,1,7,5,5,4,6,7,7,6,6,6,5,5,6,8,8,7,5,6.06666666666667,19,"Black/African American"
"98","against","Male scientist","Women","Pictured",-0.111348059574871,0.244847395911417,-0.319938524187914,1.12249282162464,1.04375451728564,-1.33361885087441,-0.315994146174202,0.375421046569826,-0.532575635507372,5.94444444444444,6.5,6,6.5,6.8,3.8,4.75,6,5,6,6,6,6,6,7,6,5,5,6,6,5,6,6,7,6,6,6,7,7,6,7,6,6,6,6,6,7,7,6,6,6,7,7,7,7,5,4,4,3,3,6,6,6,5,2,6,6,6,6,6,6,5,5,5,8,8,1,4.7,5.46666666666667,18,"White"
"99","shell","Male scientist","Women","Pictured",0.194688325023549,-0.289365104258947,0.0888042291472151,0.357079147213928,1.19298920571457,0.409266928564724,-0.315994146174202,-0.151632456135445,0.0391349508519797,6.16666666666667,6,6.33333333333333,5.5,7,5.8,4.75,5.4,5.66666666666667,6,6,6,6,6,6,6,6,6,4,5,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,7,6,6,5,5,7,7,7,7,7,6,6,6,6,5,3,6,4,5,5,5,5,5,5,6,6,5,6,6,6,8,8,4.55,5.93333333333333,19,"Asian"
"100","against","Female scientist","Women","Pictured",-0.340875348023686,-0.289365104258947,-3.58988055086895,0.548432565816607,0.894519828856718,-1.15933027293049,-0.560634775470358,-0.503001457938959,-0.532575635507372,5.77777777777778,6,3.33333333333333,5.75,6.6,4,4.5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,5,6,7,7,7,6,6,5,4,4,4,3,6,6,5,5,4,4,5,5,5,5,5,5,5,5,7,8,8,5,5.86666666666667,19,"Asian"
