"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"296","against","Female scientist","Men","Pictured",0.806761094220387,0.779059896081781,0.497546982482345,-0.0256276899914305,-0.299357678574691,0.583555506508638,1.15184962960273,1.25384355107861,1.18255612357068,6.61111111111111,7,6.66666666666667,5,5,6,6.25,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,6,7,5,5,5,5,6,5,5,4,5,6,6,6,6,6,5,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5.25,6,19,"Asian"
"297","shell","Female scientist","Women","Pictured",0.0416701327243387,-0.289365104258947,0.497546982482345,-0.0256276899914305,1.19298920571457,-0.810753117042668,0.17328711241811,0.375421046569826,0.324990244031655,6.05555555555556,6,6.66666666666667,5,7,4.4,5.25,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,6,6,6,6,6,6,7,7,6,5,5,5,5,7,7,7,7,7,5,4,4,5,4,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,7,8,4.75,5.8,19,"Asian"
"298","genes","Female scientist","Men","Pictured",-0.111348059574871,-0.289365104258947,-0.319938524187914,0.165725728611249,0.44681576356994,0.0606897726768983,0.907209000306579,0.375421046569826,0.324990244031655,5.94444444444444,6,6,5.25,6,5.4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,5,6,5,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,4.8,5.73333333333333,18,"Asian"
"299","against","Male scientist","Men","Pictured",-0.187857155724475,0.779059896081781,0.497546982482345,0.165725728611249,1.19298920571457,0.409266928564724,-0.0713535168780458,0.199736545668069,0.0391349508519797,5.88888888888889,7,6.66666666666667,5.25,7,5.8,5,5.8,5.66666666666667,5,6,6,6,6,5,6,7,5,3,6,6,5,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,4,4,7,7,7,7,7,6,5,5,6,7,4,5,5,6,4,5,5,6,6,6,6,5,6,6,8,8,8,4.65,6.2,20,"Asian"
"300","genes","Male scientist","Men","Pictured",-0.340875348023686,-0.289365104258947,-0.319938524187914,-0.791041364402147,-1.34400049757717,0.583555506508638,-1.04991603406267,0.375421046569826,0.324990244031655,5.77777777777778,6,6,4,3.6,6,4,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,2,6,2,2,6,6,6,6,6,3,5,6,6,2,2,6,6,6,6,6,6,6,6,8,4,8,4.7,4.93333333333333,20,"Asian"
"301","against","Female scientist","Men","Pictured",1.34232476726762,0.779059896081781,0.906289735817475,0.739785984419286,-1.34400049757717,0.583555506508638,1.8857715174912,1.25384355107861,1.18255612357068,7,7,7,6,3.6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,2,6,2,2,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,5.2,6.6,19,"Asian"
"302","shell","Male scientist","Men","Not pictured",0.653742901921178,0.0667765625212955,0.497546982482345,1.12249282162464,-1.79170456286395,0.583555506508638,0.907209000306579,-0.327316957037202,0.324990244031655,6.5,6.33333333333333,6.66666666666667,6.5,3,6,6,5.2,6,7,7,6,6,6,7,7,7,6,6,6,7,6,7,7,7,5,7,6,5,6,7,7,7,6,7,7,6,6,7,7,6,2,3,2,2,6,6,6,6,6,1,7,6,5,7,6,6,5,6,4,5,6,6,6,8,8,8,4.95,6.06666666666667,19,"White"
"303","shell","Female scientist","Women","Not pictured",-1.48851179026776,-0.289365104258947,0.906289735817475,-1.36510162021018,0.44681576356994,0.409266928564724,-0.315994146174202,0.375421046569826,0.324990244031655,4.94444444444444,6,7,3.25,6,5.8,4.75,6,6,5,6,6,5,6,6,6,6,6,4,4,5,4,4,4,4,4,4,6,6,6,6,6,6,7,7,7,4,4,3,2,6,6,6,6,6,6,6,6,6,5,4,7,6,5,4,4,6,6,6,6,6,6,6,6,4,8,8,4.7,4.86666666666667,20,"White"
"304","genes","Female scientist","Men","Pictured",-0.187857155724475,0.244847395911417,-0.319938524187914,-2.32186871322358,-0.000888301716838511,0.583555506508638,1.15184962960273,-0.151632456135445,0.0391349508519797,5.88888888888889,6.5,6,2,5.4,6,6.25,5.4,5.66666666666667,6,6,5,5,5,6,6,6,5,7,6,6,6,6,6,6,7,6,7,7,6,7,6,6,6,6,6,2,3,1,2,6,6,6,4,5,6,6,6,6,6,7,7,6,7,6,6,6,5,5,6,5,5,6,6,4,8,8,4.65,5.66666666666667,19,"Black/African American"
"305","shell","Female scientist","Women","Not pictured",-1.02945721337013,0.779059896081781,0.906289735817475,0.739785984419286,1.19298920571457,1.4549983962282,-0.315994146174202,1.25384355107861,1.18255612357068,5.27777777777778,7,7,6,7,7,4.75,7,7,5,5,5,5,5,5,5,5,6,4,6,7,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,1,7,7,7,7,7,7,7,7,4,8,8,4.65,6.73333333333333,19,"White"
